,PPP2R1A,MAT2A,PPP2R1A_MAT2A,UBA1,control,MMAB,UROD,UROD_PPP2R1A,HMGCS1,UROD_PPP2R1A_MAT2A,UBA1_PPP2R1A,PMVK,UBA1_PPP2R1A_MAT2A,UBA1_MAT2A,MVK
PPP2R1A,0.0,0.09645746385430493,0.07264938379108306,0.09866984000166854,0.0940826976802204,0.0788689620003916,0.10022316826254853,0.08121233175718981,0.0923635124472341,0.06708394447451807,0.08292290487795646,0.09856366307899743,0.07092379322648137,0.0805431695339261,0.08637117760841023
MAT2A,0.09645746385430493,0.0,0.08447054917758641,0.11873670241821808,0.11104947677547335,0.10193887151381152,0.10861545917423102,0.09188042049281675,0.12958229270110788,0.04977177962377479,0.07445092578941233,0.10989188575227418,0.0580419003794599,0.09967175708671373,0.11655394360968314
PPP2R1A_MAT2A,0.07264938379108306,0.08447054917758641,0.0,0.07089105328404012,0.06965801897377782,0.07397231377948227,0.09235981709914806,0.08070118093408293,0.08300175934874876,0.05374018995962625,0.06449376764600004,0.06607434712237724,0.0634571136586273,0.06990471852046536,0.08691114883196391
UBA1,0.09866984000166854,0.11873670241821808,0.07089105328404012,0.0,0.09273840900950035,0.10122093045808385,0.10329782967706908,0.07287928545529954,0.10036009357908356,0.05858998153577596,0.08226906270130689,0.09989513377203431,0.052922914912850255,0.08016225520968515,0.1109459116327398
control,0.0940826976802204,0.11104947677547335,0.06965801897377782,0.09273840900950035,0.0,0.08930468183205123,0.10779337373014614,0.07032520815134119,0.11209373626409457,0.054525415234343524,0.08601544316397257,0.13347932930071177,0.06004652550683423,0.0890224157947036,0.08727078119037136
MMAB,0.0788689620003916,0.10193887151381152,0.07397231377948227,0.10122093045808385,0.08930468183205123,0.0,0.10542670048485975,0.08394212922149362,0.10278498373017517,0.06066747732691791,0.07331958456932841,0.10805278113142922,0.05447346702680306,0.09901273124524641,0.11059827037817954
UROD,0.10022316826254853,0.10861545917423102,0.09235981709914806,0.10329782967706908,0.10779337373014614,0.10542670048485975,0.0,0.08054530737828577,0.12154645675024554,0.06232038560671839,0.08214474016081266,0.12342133966290339,0.06497974939362669,0.10060454161753342,0.11112428111121614
UROD_PPP2R1A,0.08121233175718981,0.09188042049281675,0.08070118093408293,0.07287928545529954,0.07032520815134119,0.08394212922149362,0.08054530737828577,0.0,0.09551981767316381,0.0577539115360744,0.06554148557824865,0.08210425978934316,0.0616392603147277,0.07606977107288047,0.0969866198131885
HMGCS1,0.0923635124472341,0.12958229270110788,0.08300175934874876,0.10036009357908356,0.11209373626409457,0.10278498373017517,0.12154645675024554,0.09551981767316381,0.0,0.05345686021884114,0.0921116810042197,0.10953099775622445,0.05753877402488331,0.10460557034216522,0.11946837968518415
UROD_PPP2R1A_MAT2A,0.06708394447451807,0.04977177962377479,0.05374018995962625,0.05858998153577596,0.054525415234343524,0.06066747732691791,0.06232038560671839,0.0577539115360744,0.05345686021884114,0.0,0.05402559662759163,0.05539443238221162,0.06163004801564401,0.05279961915191775,0.060031023350932605
UBA1_PPP2R1A,0.08292290487795646,0.07445092578941233,0.06449376764600004,0.08226906270130689,0.08601544316397257,0.07331958456932841,0.08214474016081266,0.06554148557824865,0.0921116810042197,0.05402559662759163,0.0,0.0894668066140934,0.050547554938202274,0.09080099997856213,0.07375168191616056
PMVK,0.09856366307899743,0.10989188575227418,0.06607434712237724,0.09989513377203431,0.13347932930071177,0.10805278113142922,0.12342133966290339,0.08210425978934316,0.10953099775622445,0.05539443238221162,0.0894668066140934,0.0,0.06694027930473932,0.095373153994283,0.11039714831039263
UBA1_PPP2R1A_MAT2A,0.07092379322648137,0.0580419003794599,0.0634571136586273,0.052922914912850255,0.06004652550683423,0.05447346702680306,0.06497974939362669,0.0616392603147277,0.05753877402488331,0.06163004801564401,0.050547554938202274,0.06694027930473932,0.0,0.053974833787295874,0.056540705342160526
UBA1_MAT2A,0.0805431695339261,0.09967175708671373,0.06990471852046536,0.08016225520968515,0.0890224157947036,0.09901273124524641,0.10060454161753342,0.07606977107288047,0.10460557034216522,0.05279961915191775,0.09080099997856213,0.095373153994283,0.053974833787295874,0.0,0.09542678290352988
MVK,0.08637117760841023,0.11655394360968314,0.08691114883196391,0.1109459116327398,0.08727078119037136,0.11059827037817954,0.11112428111121614,0.0969866198131885,0.11946837968518415,0.060031023350932605,0.07375168191616056,0.11039714831039263,0.056540705342160526,0.09542678290352988,0.0
