perturbation,IFNGR1,ETV7,STAT2,ATF2,PDL1,IRF1,control,CAV1,IRF7,MARCH8
IFNGR1,1.0,-0.1824807478864362,-0.004075471201830854,-0.17193281760634285,-0.16701471203447205,-0.21755282783725582,-0.21307201198687406,-0.13921180243737394,-0.21896570069223967,-0.20924855748260918
ETV7,-0.1824807478864362,1.0,-0.11516559792109127,-0.016609611915680025,-0.06904115709858369,-0.06141222349076453,0.0036501085147135335,-0.4257948991353903,-0.19544497033124342,-0.027038101870786205
STAT2,-0.004075471201830854,-0.11516559792109127,1.0,-0.01129167505440615,-0.07267581793051513,-0.21962235110146194,-0.014865734275558574,-0.3260699895498512,-0.20974797582137023,0.0537727113068578
ATF2,-0.17193281760634285,-0.016609611915680025,-0.01129167505440615,1.0,-0.11227618786789578,-0.1415019857973454,-0.4263135325347303,0.16815984381222412,0.017872863575354087,-0.14518038254075194
PDL1,-0.16701471203447205,-0.06904115709858369,-0.07267581793051513,-0.11227618786789578,1.0,-0.0933566214481178,-0.2651716691833082,-0.05172201597186564,-0.13285514492764114,-0.09552084304577009
IRF1,-0.21755282783725582,-0.06141222349076453,-0.21962235110146194,-0.1415019857973454,-0.0933566214481178,1.0,-0.07353636075374687,-0.15748640108837514,-0.10752283752197506,-0.08952616534352151
control,-0.21307201198687406,0.0036501085147135335,-0.014865734275558574,-0.4263135325347303,-0.2651716691833082,-0.07353636075374687,1.0,0.41096130395704455,0.14092912766449645,-0.3160176307127262
CAV1,-0.13921180243737394,-0.4257948991353903,-0.3260699895498512,0.16815984381222412,-0.05172201597186564,-0.15748640108837514,0.41096130395704455,1.0,-0.15346671543840057,0.013233175849991303
IRF7,-0.21896570069223967,-0.19544497033124342,-0.20974797582137023,0.017872863575354087,-0.13285514492764114,-0.10752283752197506,0.14092912766449645,-0.15346671543840057,1.0,0.07194483238786634
MARCH8,-0.20924855748260918,-0.027038101870786205,0.0537727113068578,-0.14518038254075194,-0.09552084304577009,-0.08952616534352151,-0.3160176307127262,0.013233175849991303,0.07194483238786634,1.0
