,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,significant_adj_new
0,11,ACLY.inhibitor,0.12031300969092396,0.0,True,0.0,True,2.4830925514842974,1.4469670883284556,True
1,11,ACSS2.inhibitor,0.14255269456895858,0.0,True,0.0,True,2.451840410463884,1.3622231214095932,True
2,11,Acetate,0.11707847139278016,0.0,True,0.0,True,3.884460510794293,4.252937545246589,True
3,11,Chloride,0.46104892041652734,0.0,True,0.0,True,2.1656851198797082,0.471416314393673,True
4,11,Citrate,0.15270307726005328,0.0,True,0.0,True,4.356438570351131,5.161269058492992,True
5,11,PDH.inhibitor,0.12097022811018876,0.0,True,0.0,True,2.4535117433193308,1.3871482535792556,True
6,11,Pyruvate,0.16655172043029598,0.0,True,0.0,True,4.06393312156681,4.562409517754109,True
7,11,control,0.0,0.0,True,0.0,control,3.398905004949216,3.398905004949216,control
8,100,ACLY.inhibitor,0.6839816439276944,0.0,True,0.0,True,24.870120933626666,21.36611356022091,True
9,100,ACSS2.inhibitor,0.8422392727143375,0.0,True,0.0,True,25.15089952132519,21.769413106831273,True
10,100,Acetate,1.6201752983439413,0.0,True,0.0,True,27.81933919339306,26.328356425337407,True
11,100,Chloride,4.656457448005341,0.0,True,0.0,True,23.72162128116041,15.096638451210708,True
12,100,Citrate,1.3569919619153836,0.0,True,0.0,True,30.143963977921498,31.240789330822842,True
13,100,PDH.inhibitor,0.6289239083190843,0.0,True,0.0,True,24.72615111919912,21.13323166697445,True
14,100,Pyruvate,1.3597012349484743,0.0,True,0.0,True,28.504600513691106,27.959353129328967,True
15,100,control,0.0,0.0,True,0.0,control,27.69014666310477,27.69014666310477,control
16,276,ACLY.inhibitor,1.171328011800533,0.0,True,0.0,True,46.864621836070114,43.24570841194684,True
17,276,ACSS2.inhibitor,1.4802524902559,0.0,True,0.0,True,47.2720951825681,43.751730626487436,True
18,276,Acetate,4.251814744134805,0.0,True,0.0,True,48.73320163055113,43.90238126857459,True
19,276,Chloride,8.735898688795217,0.0,True,0.0,True,46.468715190538,34.889324443887915,True
20,276,Citrate,3.2991534714605066,0.0,True,0.0,True,51.696264968800456,50.78116921774754,True
21,276,PDH.inhibitor,0.9874313195700566,0.0,True,0.0,True,46.449385478103764,42.59913238824465,True
22,276,Pyruvate,3.2158405808463115,0.0,True,0.0,True,49.57020926229701,46.61237069535485,True
23,276,control,0.0,0.0,True,0.0,control,49.312207248392866,49.312207248392866,control
24,535,ACLY.inhibitor,1.4497501666513415,0.0,True,0.0,True,64.788842585087,61.47305289164988,True
25,535,ACSS2.inhibitor,1.7999976717072457,0.0,True,0.0,True,64.30498138958065,60.15508299558142,True
26,535,Acetate,6.0007486714034,0.0,True,0.0,True,66.25774575784735,59.85986073241865,True
27,535,Chloride,13.41491651686232,0.0,True,0.0,True,65.87762069396977,51.6854427592046,True
28,535,Citrate,4.60281555519515,0.0,True,0.0,True,70.0212120742846,68.78472648150142,True
29,535,PDH.inhibitor,1.1829597120411677,0.0,True,0.0,True,64.33830950386047,60.838777183807025,True
30,535,Pyruvate,4.5777006669457165,0.0,True,0.0,True,67.01806289462708,62.8035430104358,True
31,535,control,0.0,0.0,True,0.0,control,66.65488211187264,66.65488211187264,control
32,872,ACLY.inhibitor,1.7296980828218835,0.0,True,0.0,True,75.99833690332653,72.73294507387192,True
33,872,ACSS2.inhibitor,2.0438172930802097,0.0,True,0.0,True,75.240300826337,70.90275370963462,True
34,872,Acetate,7.451572540703822,0.0,True,0.0,True,76.94016942857716,68.89473566649133,True
35,872,Chloride,15.626179990369238,0.0,True,0.0,True,77.54570803108786,61.9312054218473,True
36,872,Citrate,5.667024703044191,0.0,True,0.0,True,81.15105005139054,79.10104474977771,True
37,872,PDH.inhibitor,1.4248101911925062,0.0,True,0.0,True,75.56159766530172,72.16435448945164,True
38,872,Pyruvate,5.626200587791544,0.0,True,0.0,True,77.681137629305,72.20204402085928,True
39,872,control,0.0,0.0,True,0.0,control,77.53403064995918,77.53403064995918,control
40,1279,ACLY.inhibitor,1.8438706330610586,0.0,True,0.0,True,82.89761973549378,79.74525838184685,True
41,1279,ACSS2.inhibitor,2.2235668675249514,0.0,True,0.0,True,81.71575771003518,77.00183809646568,True
42,1279,Acetate,8.186253048559635,0.0,True,0.0,True,83.49945204270843,74.60654058077749,True
43,1279,Chloride,17.433416287549562,0.0,True,0.0,True,84.6993703876476,67.75921403166592,True
44,1279,Citrate,6.138513904692246,0.0,True,0.0,True,88.00090574759113,85.6571871344103,True
45,1279,PDH.inhibitor,1.5121061269742313,0.0,True,0.0,True,82.33519630635705,78.95217602966,True
46,1279,Pyruvate,6.154643813370953,0.0,True,0.0,True,84.26170529732576,78.16265632520084,True
47,1279,control,0.0,0.0,True,0.0,control,84.20611045607973,84.20611045607973,control
48,1746,ACLY.inhibitor,1.893402481468243,0.0,True,0.0,True,87.55984696049028,84.45095347984588,True
49,1746,ACSS2.inhibitor,2.36718418801901,0.0,True,0.0,True,86.28675957379647,81.43099699990765,True
50,1746,Acetate,8.778742118389417,0.0,True,0.0,True,88.32819825494028,79.10231643182485,True
51,1746,Chloride,18.576035821839966,0.0,True,0.0,True,89.19270398888074,71.03403419625522,True
52,1746,Citrate,6.473153013664046,0.0,True,0.0,True,92.80145019857129,90.35440942381224,True
53,1746,PDH.inhibitor,1.567716623782161,0.0,True,0.0,True,86.98273723269935,83.62241988195034,True
54,1746,Pyruvate,6.582696387827454,0.0,True,0.0,True,89.08671309517351,82.81539184285327,True
55,1746,control,0.0,0.0,True,0.0,control,88.77533795966629,88.77533795966629,control
56,2264,ACLY.inhibitor,1.962135345399659,0.0,True,0.0,True,92.0949280339328,89.05031385782482,True
57,2264,ACSS2.inhibitor,2.466441320561543,0.0,True,0.0,True,90.54276387412136,85.44167956304028,True
58,2264,Acetate,9.219166778109852,0.0,True,0.0,True,92.80779360431707,83.21901356588339,True
59,2264,Chloride,19.428490516981967,0.0,True,0.0,True,93.58539375033423,74.5648901190456,True
60,2264,Citrate,6.712269967121955,0.0,True,0.0,True,97.23595498780382,94.58223314384479,True
61,2264,PDH.inhibitor,1.6244646903415116,0.0,True,0.0,True,91.4288164176588,88.05576128033515,True
62,2264,Pyruvate,6.892863912603971,0.0,True,0.0,True,93.59272183715836,87.11517289707186,True
63,2264,control,0.0,0.0,True,0.0,control,93.1774068646409,93.1774068646409,control
64,2820,ACLY.inhibitor,2.0199226032068935,0.0,True,0.0,True,96.0659898604038,93.0655530327161,True
65,2820,ACSS2.inhibitor,2.547773332112996,0.0,True,0.0,True,94.38662864086665,89.17897986473585,True
66,2820,Acetate,9.436852458615604,0.0,True,0.0,True,96.86836103774561,87.25336553199118,True
67,2820,Chloride,20.04177098816288,0.0,True,0.0,True,97.50757363918308,77.92687220531883,True
68,2820,Citrate,6.814440574015578,0.0,True,0.0,True,101.20070617754519,98.54046769619035,True
69,2820,PDH.inhibitor,1.693794900278732,0.0,True,0.0,True,95.3292739036733,91.91824882218341,True
70,2820,Pyruvate,7.058180215671129,0.0,True,0.0,True,97.68160178797608,91.25851927539658,True
71,2820,control,0.0,0.0,True,0.0,control,97.04650408488445,97.04650408488445,control
72,3403,ACLY.inhibitor,2.0767628352907366,0.0,True,0.0,True,97.80022915904134,94.82094710292473,True
73,3403,ACSS2.inhibitor,2.5865160881781293,0.0,True,0.0,True,96.03481949611538,90.78037452418542,True
74,3403,Acetate,9.59696752051238,0.0,True,0.0,True,98.56981632315805,88.83991674593652,True
75,3403,Chloride,20.52495498603706,0.0,True,0.0,True,99.28547421675599,79.34324506760771,True
76,3403,Citrate,6.918392970706975,0.0,True,0.0,True,102.96881083138162,100.31648031218906,True
77,3403,PDH.inhibitor,1.7498944474329505,0.0,True,0.0,True,97.10309516571817,93.75354750413605,True
78,3403,Pyruvate,7.182395336372693,0.0,True,0.0,True,99.38808684099838,92.89102996575687,True
79,3403,control,0.0,0.0,True,0.0,control,98.7027483798672,98.7027483798672,control
80,4000,ACLY.inhibitor,2.152303776827054,0.0,True,0.0,True,99.56089864112587,96.58600615568066,True
81,4000,ACSS2.inhibitor,2.6257626286564886,0.0,True,0.0,True,97.77199236943369,92.53473476046695,True
82,4000,Acetate,9.810105076402692,0.0,True,0.0,True,100.3399811572977,90.48636988844876,True
83,4000,Chloride,20.74279901392771,0.0,True,0.0,True,100.96207983748229,80.79787331129293,True
84,4000,Citrate,7.067929219638785,0.0,True,0.0,True,104.76720646512645,102.08299636087017,True
85,4000,PDH.inhibitor,1.8058782395695232,0.0,True,0.0,True,98.86934846989409,95.5493313504748,True
86,4000,Pyruvate,7.340181362437448,0.0,True,0.0,True,101.10769103237953,94.49171335257768,True
87,4000,control,0.0,0.0,True,0.0,control,100.38348734974394,100.38348734974394,control
