perturbation,PPP2R1A,MAT2A,PPP2R1A_MAT2A,UBA1,control,MMAB,UROD,UROD_PPP2R1A,HMGCS1,UROD_PPP2R1A_MAT2A,UBA1_PPP2R1A,PMVK,UBA1_PPP2R1A_MAT2A,UBA1_MAT2A,MVK
PPP2R1A,0.0,26.174673776556403,31.43083488968165,23.026402834570774,15.733543324428354,9.574797406187201,31.97073984764512,15.840889898577132,25.70304566305282,56.51556525811117,17.259245510756443,21.76649549670907,64.14381835155308,16.74717829367779,18.587300425487626
MAT2A,26.17467377655646,0.0,29.146552378016565,21.66966576496685,25.255632163049142,21.60724705163034,17.330472555429765,27.804462860377782,22.692825722177872,71.67913589287826,20.518615224078815,18.354156663105016,77.19679737438383,17.268331257381476,15.038899528411719
PPP2R1A_MAT2A,31.430834889681535,29.146552378016565,0.0,51.744845217459385,33.578297555520805,28.86915249599423,23.925088841168133,24.242587505432596,49.45442507404249,27.15398511260622,27.976408369723515,38.66529402426812,30.03748992258039,26.297694282587315,31.268597582795167
UBA1,23.026402834570717,21.669665764966794,51.74484521745944,0.0,19.12402837176512,17.950280571026326,30.40280904157362,30.161918788220305,13.781800226718985,99.2083684542713,25.709549002413837,19.091166142627117,109.93511653329927,25.219635733025598,19.14875429661504
control,15.733543324428297,25.2556321630492,33.57829755552086,19.12402837176512,0.0,14.686480357631012,27.69559113958246,17.01395545406058,18.015257026628547,65.3421609276387,14.887934578749082,20.666264033837138,76.87614139533366,17.304048479798553,18.74035646121547
MMAB,9.574797406187258,21.607247051630395,28.869152495994342,17.950280571026326,14.68648035763107,0.0,22.157980145975955,15.458074348528669,21.38068230943719,64.11751327178655,17.764944232098912,17.875752979469723,66.92775531138653,15.376162818436626,13.29105138294102
UROD,31.970739847645007,17.330472555429765,23.92508884116819,30.402809041573562,27.695591139582405,22.1579801459759,0.0,31.50262322551481,33.627482372626616,66.49522147195574,33.883140134838925,20.95841825649137,70.26943791201853,25.787863309177226,19.45739357363078
UROD_PPP2R1A,15.840889898577075,27.80446286037784,24.242587505432653,30.161918788220305,17.01395545406058,15.458074348528612,31.502623225514867,0.0,25.14440402782236,41.25306502484307,16.080166263045385,29.437846704783738,41.22574418071895,13.432732649150353,22.627411485965013
HMGCS1,25.703045663052762,22.692825722177872,49.454425074042604,13.781800226718985,18.015257026628603,21.380682309437248,33.6274823726265,25.144404027822418,0.0,93.90555374939964,23.0116419380999,20.608853490892386,105.73244547662665,22.735681682770576,21.93066278630539
UROD_PPP2R1A_MAT2A,56.51556525811111,71.67913589287832,27.15398511260628,99.2083684542713,65.3421609276387,64.11751327178649,66.4952214719558,41.25306502484307,93.90555374939959,0.0,56.284622766794314,81.53122809095998,13.37158595284825,54.15214207557506,74.1248869122561
UBA1_PPP2R1A,17.259245510756386,20.51861522407887,27.976408369723572,25.709549002413837,14.887934578749082,17.764944232098856,33.88314013483898,16.080166263045385,23.011641938099842,56.284622766794314,0.0,28.90038751126133,62.477339470124434,18.318134023984726,21.84921934148224
PMVK,21.766495496709013,18.35415666310496,38.66529402426818,19.091166142627117,20.666264033837138,17.87575297946978,20.958418256491314,29.437846704783738,20.608853490892443,81.53122809095998,28.90038751126133,0.0,88.50271197897621,22.65293589863427,13.066410802484938
UBA1_PPP2R1A_MAT2A,64.14381835155302,77.19679737438389,30.03748992258045,109.93511653329927,76.87614139533366,66.92775531138648,70.26943791201859,41.22574418071895,105.7324454766266,13.37158595284825,62.477339470124434,88.50271197897621,0.0,56.992595140187746,77.92318143125954
UBA1_MAT2A,16.747178293677734,17.268331257381533,26.297694282587372,25.219635733025598,17.304048479798553,15.376162818436569,25.787863309177283,13.432732649150353,22.73568168277052,54.15214207557506,18.318134023984726,22.65293589863427,56.992595140187746,0.0,15.67001069501464
MVK,18.58730042548757,15.038899528411662,31.268597582795223,19.14875429661504,18.74035646121547,13.291051382940964,19.45739357363084,22.627411485965013,21.930662786305334,74.1248869122561,21.84921934148224,13.066410802484938,77.92318143125954,15.67001069501464,0.0
