,PPP2R1A_MAT2A,UBA1,UROD,UBA1_PPP2R1A,UROD_PPP2R1A,HMGCS1,control,MVK,MMAB,PMVK,UBA1_MAT2A,PPP2R1A,MAT2A,UROD_PPP2R1A_MAT2A,UBA1_PPP2R1A_MAT2A
PPP2R1A_MAT2A,0.0,0.376881568877554,0.10024438775510447,-0.16758973214285078,0.28160338010204455,0.14272672193877511,0.1237737244898014,0.10873335459184119,-0.013696811224484406,0.008680612244901909,0.0018794642857216104,0.017420216836736557,-0.029532780612239407,0.26178316326530293,0.6143041454081697
UBA1,0.376881568877554,0.0,0.0858694515306091,0.10696345663265205,0.03229094387754827,-0.015073214285720837,0.2219425382653064,-0.011582206632656522,0.09477200255101437,-0.08015994897959544,0.08459827806122533,0.0040109056122403786,0.06049540816326271,1.8996582270408098,2.4706510841836753
UROD,0.10024438775510447,0.0858694515306091,0.0,0.1682044005102057,0.3356068877551017,0.08049585459183461,0.20922098214285967,0.13962123724489572,0.011941071428566374,-0.05806275510204273,0.17220797193877502,0.06361434948979294,0.0922176020408152,1.533724170918365,2.0323826530612266
UBA1_PPP2R1A,-0.16758973214285078,0.10696345663265205,0.1682044005102057,0.0,-0.1405491071428564,0.011917984693869954,0.03332436224489754,-0.11292225765306085,-0.020327423469389316,-0.047024999999997874,-0.1385480229591849,-0.1915916454081632,-0.18847901785714427,0.5966025510203998,1.1381891581632644
UROD_PPP2R1A,0.28160338010204455,0.03229094387754827,0.3356068877551017,-0.1405491071428564,0.0,0.022939221938770515,0.15585809948979445,-0.1848791454081642,0.13154693877551082,0.10004936224489924,-0.1554267857142868,0.015417091836731345,-0.058735905612245176,1.2858019132653027,1.9268010204081598
HMGCS1,0.14272672193877511,-0.015073214285720837,0.08049585459183461,0.011917984693869954,0.022939221938770515,0.0,-0.11714043367347315,-0.17974955357142974,-0.15322346938775766,-0.12481167091837264,-0.11832219387755671,0.014040433673464747,-0.16930631377551464,1.3549815051020317,1.7952806122448912
control,0.1237737244898014,0.2219425382653064,0.20922098214285967,0.03332436224489754,0.15585809948979445,-0.11714043367347315,0.0,-0.037840051020410215,-0.00799209183673355,-0.035517793367347394,0.072334183673469,-0.007390688775512189,-0.009059311224493882,1.2843035076530533,1.584596364795921
MVK,0.10873335459184119,-0.011582206632656522,0.13962123724489572,-0.11292225765306085,-0.1848791454081642,-0.17974955357142974,-0.037840051020410215,0.0,0.02198941326530246,-0.13545503826530592,-0.18625931122448947,-0.15008730867347353,-0.18786530612245045,1.1914506377551,1.686046619897958
MMAB,-0.013696811224484406,0.09477200255101437,0.011941071428566374,-0.020327423469389316,0.13154693877551082,-0.15322346938775766,-0.00799209183673355,0.02198941326530246,0.0,-0.07395707908163018,-0.04878010204081562,-0.022114349489800844,-0.1384673469387785,1.0126704719387725,1.4043977040816316
PMVK,0.008680612244901909,-0.08015994897959544,-0.05806275510204273,-0.047024999999997874,0.10004936224489924,-0.12481167091837264,-0.035517793367347394,-0.13545503826530592,-0.07395707908163018,0.0,-0.04750580357142553,-0.08988692602040871,-0.06258054846938776,1.1788322704081615,1.6273126275510208
UBA1_MAT2A,0.0018794642857216104,0.08459827806122533,0.17220797193877502,-0.1385480229591849,-0.1554267857142868,-0.11832219387755671,0.072334183673469,-0.18625931122448947,-0.04878010204081562,-0.04750580357142553,0.0,-0.045672448979590996,-0.13466607142857256,0.960390497448973,1.4972396045918401
PPP2R1A,0.017420216836736557,0.0040109056122403786,0.06361434948979294,-0.1915916454081632,0.015417091836731345,0.014040433673464747,-0.007390688775512189,-0.15008730867347353,-0.022114349489800844,-0.08988692602040871,-0.045672448979590996,0.0,-0.0069846938775555145,0.9926406249999928,1.5351459821428541
MAT2A,-0.029532780612239407,0.06049540816326271,0.0922176020408152,-0.18847901785714427,-0.058735905612245176,-0.16930631377551464,-0.009059311224493882,-0.18786530612245045,-0.1384673469387785,-0.06258054846938776,-0.13466607142857256,-0.0069846938775555145,0.0,1.1247157525510119,1.6510961096938779
UROD_PPP2R1A_MAT2A,0.26178316326530293,1.8996582270408098,1.533724170918365,0.5966025510203998,1.2858019132653027,1.3549815051020317,1.2843035076530533,1.1914506377551,1.0126704719387725,1.1788322704081615,0.960390497448973,0.9926406249999928,1.1247157525510119,0.0,-0.18365982142857362
UBA1_PPP2R1A_MAT2A,0.6143041454081697,2.4706510841836753,2.0323826530612266,1.1381891581632644,1.9268010204081598,1.7952806122448912,1.584596364795921,1.686046619897958,1.4043977040816316,1.6273126275510208,1.4972396045918401,1.5351459821428541,1.6510961096938779,-0.18365982142857362,0.0
